,Apples (None),Apples (Precision Agriculture),Beef - modified land (None),Beef - natural land (None),Citrus (None),Citrus (Precision Agriculture),Cotton (None),Cotton (Precision Agriculture),Dairy - modified land (None),Dairy - natural land (None),Grapes (None),Grapes (Precision Agriculture),Hay (None),Hay (Precision Agriculture),Nuts (None),Nuts (Precision Agriculture),Other non-cereal crops (None),Other non-cereal crops (Precision Agriculture),Pears (None),Pears (Precision Agriculture),Plantation fruit (None),Plantation fruit (Precision Agriculture),Rice (None),Rice (Precision Agriculture),Sheep - modified land (None),Sheep - natural land (None),Stone fruit (None),Stone fruit (Precision Agriculture),Sugar (None),Sugar (Precision Agriculture),Summer cereals (None),Summer cereals (Precision Agriculture),Summer legumes (None),Summer legumes (Precision Agriculture),Summer oilseeds (None),Summer oilseeds (Precision Agriculture),Tropical stone fruit (None),Tropical stone fruit (Precision Agriculture),Unallocated - modified land (None),Unallocated - natural land (None),Vegetables (None),Vegetables (Precision Agriculture),Winter cereals (None),Winter cereals (Precision Agriculture),Winter legumes (None),Winter legumes (Precision Agriculture),Winter oilseeds (None),Winter oilseeds (Precision Agriculture),All
Apples (None),40,0,17,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,1,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,4,1,10,0,3,0,0,2,3,0,0,1,117
Apples (Precision Agriculture),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beef - modified land (None),16,15,232285,0,13,4,0,155,1222,0,106,1,0,2240,46,73,101,53,0,1,68,22,30,0,11670,0,5,0,0,551,0,1319,0,78,0,91,0,0,7414,0,107,124,0,3474,0,579,0,1851,324423
Beef - natural land (None),0,0,0,566892,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,75698,0,0,0,0,0,0,0,0,642609
Citrus (None),0,0,7,0,140,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,1,0,4,0,0,274
Citrus (Precision Agriculture),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cotton (None),0,0,0,0,0,0,3635,1694,130,0,1,0,0,53,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,6,0,0,0,0,5698
Cotton (Precision Agriculture),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dairy - modified land (None),1,1,528,0,0,0,0,0,19679,0,0,0,0,54,0,29,1,27,0,0,3,3,30,3,1787,0,0,0,0,0,0,3,0,0,0,0,1,0,38,0,12,5,0,62,0,4,0,19,25966
Dairy - natural land (None),0,0,0,3,0,0,0,0,0,1640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1645
Grapes (None),0,0,60,0,0,0,0,0,3,0,1276,241,0,5,0,0,0,4,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,219,0,0,0,0,4,0,20,0,0,1920
Grapes (Precision Agriculture),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hay (None),1,0,1968,0,7,3,0,12,358,0,23,8,5629,902,0,0,31,23,0,0,2,0,3,72,5726,0,1,0,0,0,0,15,0,2,0,0,6,3,202,0,15,17,0,418,0,7,0,118,17696
Hay (Precision Agriculture),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuts (None),0,0,2,0,0,0,0,0,8,0,0,0,0,0,321,8,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,5,9,0,0,0,552
Nuts (Precision Agriculture),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other non-cereal crops (None),0,2,46,0,0,0,0,2,19,0,0,0,0,24,0,3,443,65,0,0,1,0,0,20,248,0,0,0,0,1,0,8,0,3,0,8,0,0,179,0,5,0,0,42,0,0,1,10,1451
Other non-cereal crops (Precision Agriculture),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pears (None),0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,27
Pears (Precision Agriculture),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plantation fruit (None),0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,33,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,185
Plantation fruit (Precision Agriculture),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rice (None),0,0,0,0,51,0,0,0,0,0,54,0,0,9,0,0,0,0,0,0,0,0,267,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,74,0,7,0,0,785
Rice (Precision Agriculture),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sheep - modified land (None),0,0,277,0,0,0,0,0,378,0,0,0,0,707,0,0,24,121,0,0,0,0,0,1,178016,0,21,0,0,0,0,0,0,0,0,0,0,0,5443,0,195,209,0,1741,0,2103,0,3255,207275
Sheep - natural land (None),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187644,0,0,0,0,0,0,0,0,0,0,0,0,0,37735,0,0,0,0,0,0,0,0,225379
Stone fruit (None),2,1,44,0,0,0,0,2,10,0,16,2,0,12,0,0,0,0,0,0,0,0,0,0,20,0,95,83,0,0,0,1,0,0,0,1,0,0,77,0,12,0,0,3,2,0,0,11,446
Stone fruit (Precision Agriculture),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sugar (None),0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,2,0,14,0,0,0,0,0,2721,1765,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4654
Sugar (Precision Agriculture),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summer cereals (None),0,0,0,0,3,5,0,3,415,0,66,0,0,39,0,0,0,5,0,0,0,0,0,13,68,0,0,0,0,1,3584,1672,0,0,0,1,0,0,11,0,0,0,0,13,0,0,0,2,6612
Summer cereals (Precision Agriculture),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summer legumes (None),0,0,1,0,2,0,0,16,70,0,14,1,0,49,0,0,0,0,0,0,1,0,3,1,64,0,0,0,0,0,0,28,182,16,0,0,0,0,107,0,0,0,0,17,0,0,0,6,1129
Summer legumes (Precision Agriculture),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summer oilseeds (None),0,0,5,0,1,0,0,0,19,0,2,2,0,22,0,0,5,3,0,0,0,0,0,0,59,0,0,0,0,0,0,5,0,0,172,27,0,0,17,0,0,0,0,8,0,0,0,0,430
Summer oilseeds (Precision Agriculture),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tropical stone fruit (None),0,0,12,0,0,0,0,0,3,0,0,0,0,9,0,1,0,0,0,0,5,1,1,5,0,0,0,0,0,1,0,0,0,19,0,0,17,0,95,0,0,0,0,0,1,1,0,0,230
Tropical stone fruit (Precision Agriculture),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unallocated - modified land (None),0,0,4916,0,0,0,0,1203,200,0,3,238,0,333,0,0,4,272,1,0,1,1,0,66,22983,0,141,0,0,0,0,0,0,0,0,0,18,9,60946,0,49,9,0,648,0,17,0,187,111771
Unallocated - natural land (None),0,0,0,316,0,0,0,0,0,1470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8870,0,0,0,0,0,0,0,0,0,0,0,0,0,2387234,0,0,0,0,0,0,0,0,2397890
Vegetables (None),1,1,187,0,7,5,0,0,108,0,22,7,0,154,0,1,6,10,0,0,0,1,0,11,181,0,0,0,0,0,0,2,0,37,0,0,0,1,286,0,87,50,0,37,11,4,1,0,1409
Vegetables (Precision Agriculture),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Winter cereals (None),0,0,1136,0,0,0,0,0,652,0,1,0,0,26,0,1,127,56,0,0,0,0,1,48,12077,0,0,0,0,0,0,0,0,0,0,0,1,2,126,0,19,14,104182,65465,0,40,0,0,194009
Winter cereals (Precision Agriculture),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Winter legumes (None),0,0,256,0,0,0,0,10,216,0,0,0,0,148,0,0,23,1,0,0,0,0,0,8,3640,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0,1,0,175,12305,1964,0,0,22429
Winter legumes (Precision Agriculture),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Winter oilseeds (None),0,0,2391,0,0,0,0,1,24,0,0,0,0,4,0,0,4,3,0,0,0,0,0,11,3265,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,1,2,0,2,0,31,9148,2334,21722
Winter oilseeds (Precision Agriculture),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All,61,20,244147,567211,224,71,3635,3098,23616,3118,1584,500,5629,4796,367,116,769,655,8,3,116,37,350,298,240012,196525,263,83,2721,2319,3584,3053,182,155,172,128,51,17,76014,2500669,505,431,104182,72198,12331,4781,9150,7794,4218733
